Query_Filename,Query_ID,Query_Sentence,Claim_Filename,Claim_ID,Claim_Sentence,Redundant_or_Independent,Score
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3D_1,Face masks are essential for doctors,Related,0.63
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATRA_10,"England and Scotland have both mandated the use of face masks on public transit, and Scotland will soon also make mask use compulsory in stores",Related,0.58
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATRG_4,where masks still are required in Level Green counties,Related,0.64
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P59_1,"to wear a mask when out in public, keep your distance from other people, wash your hands, and try to limit interactions to well-ventilated ",Related,0.68
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATEQ_0,steps taken or recommended to limit spread of the disease (like wearing face masks in public) as an unwarranted imposition on their lives,Related,0.61
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA1A_4,Masks should be carefully taken off after getting inside a car or room,Related,0.59
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATMM_0,Masks are most often recommended for medical personnel and those who are ill themselves,Related,0.66
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATRG_6,where masks are required in counties at Level Blue or higher,Related,0.61
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049PHR_3,people working closely with COVID-19 patients need to wear N95 masks to protect themselves from the virus,Related,0.6
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATRG_0,I still need to wear a mask in Colorado,Related,0.63
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049PHR_1,a mask is only necessary in certain circumstances,Related,0.63
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5I_2,"The CDC does, however, recommend a specialized type of mask for healthcare workers, who are in contact with coronavirus patients",Related,0.61
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA4M_9,"You must wear a protective face mask in all indoor public spaces"" that made me ",Related,0.62
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATRG_5,are masks required in counties at Level Blue and above,Related,0.64
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATRG_8,"San Juan Basin Public Health, which covers Archuleta and La Plata counties, issued a more restrictive mask mandate last week that requires face coverings in all public indoor settings unless everyone present is fully vaccinated",Related,0.63
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P59_4,"people who previously had the disease should wear a mask and follow social distancing practices while out in public, so should people who have been vaccinated",Related,0.6
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3D_14,"Home-made masks, such as bandanas or scarves, should very much be seen as a ""last resort"" when it comes to personal protective measures",Related,0.64
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATRG_2,Where are masks required in Level Green counties,Related,0.63
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA4F_2,masks are necessary and people should use them when out in public,Related,0.72
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA4U_8,sure to wear a mask when you can't maintain distance from others,Related,0.6
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATRF_3,masks are required to be worn inside a building or if on public transportation except for those that are under ,Related,0.73
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATRA_9,the locals have reportedly been understanding of the importance of masks,Related,0.63
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3D_10,Face masks must be prioritised for health workers,Related,0.66
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3D_13,Healthcare workers are required to wear face masks to protect themselves from infectious illnesses to stop the spread of the disease,Related,0.69
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CVH6_0,Private businesses can still require masks and enforce social distancing and other protective measures,Related,0.6
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATQR_1,Masks are compulsary in shops and public places where it is impossible to keep a distance of less than 2 metres,Related,0.65
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATL5_2,"worry on precautions that might make the most difference, such as wearing masks in public and staying physically distant",Related,0.65
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049PE0_0,The World Health Organization's guidance about when to wear a face mask may seem confusing to Americans,Related,0.63
CLL0C04BZQS.000004.ttl,claim-CLL0C04BZQS.000004,The Mayo Clinic claims wearing masks is necessary outdoors,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATLC_2,This may be welcome news for health care and essential retail workers who wear masks daily and may need a faster or more convenient way to disinfect between uses,Related,0.62
CLL0C04BZS6.000004.ttl,claim-CLL0C04BZS6.000004,Anthony Fauci claims wearing masks might be necessary in the United States,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATJY_0,This recent development has fast-tracked the recent requirement for wearing masks while indoors,Related,0.58
CLL0C04BZS6.000004.ttl,claim-CLL0C04BZS6.000004,Anthony Fauci claims wearing masks might be necessary in the United States,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3R_2,wearing masks in public was already commonplace,Related,0.62
CLL0C04BZS6.000004.ttl,claim-CLL0C04BZS6.000004,Anthony Fauci claims wearing masks might be necessary in the United States,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATRG_0,I still need to wear a mask in Colorado,Related,0.58
CLL0C04BZS6.000004.ttl,claim-CLL0C04BZS6.000004,Anthony Fauci claims wearing masks might be necessary in the United States,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049PHR_1,a mask is only necessary in certain circumstances,Related,0.59
CLL0C04BZS6.000004.ttl,claim-CLL0C04BZS6.000004,Anthony Fauci claims wearing masks might be necessary in the United States,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA4F_2,masks are necessary and people should use them when out in public,Related,0.61
CLL0C04BZS6.000004.ttl,claim-CLL0C04BZS6.000004,Anthony Fauci claims wearing masks might be necessary in the United States,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04ATRF_3,masks are required to be worn inside a building or if on public transportation except for those that are under ,Related,0.59
CLL0C04BZS6.000004.ttl,claim-CLL0C04BZS6.000004,Anthony Fauci claims wearing masks might be necessary in the United States,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049PE0_0,The World Health Organization's guidance about when to wear a face mask may seem confusing to Americans,Related,0.61
CLL0C04C06G.000004.ttl,claim-CLL0C04C06G.000004,Baruch Vainshelboim claims masks cause adverse psychological effects,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA1A_3,An ill fitting mask can cause serious harm,Related,0.59
CLL0C04C06G.000004.ttl,claim-CLL0C04C06G.000004,Baruch Vainshelboim claims masks cause adverse psychological effects,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_6,Claim: Masks harm the immune system,Related,0.59
CLL0C04C08B.000004.ttl,claim-CLL0C04C08B.000004,Author claims masks do not cause hypercapnia,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_2,One of the most common themes in misleading posts surrounding the use of masks is that they limit the amount of oxygen getting into the body,Related,0.6
CLL0C04C08B.000004.ttl,claim-CLL0C04C08B.000004,Author claims masks do not cause hypercapnia,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5O_8,Wearing N95 masks results in hypoxygenemia and hypercapnia which reduce working efficiency,Related,0.68
CLL0C04C08B.000004.ttl,claim-CLL0C04C08B.000004,Author claims masks do not cause hypercapnia,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5M_5,"wearing a face mask restricts breathing, leading to the conditions hypoxemia and hypercapnia",Related,0.74
CLL0C04C08B.000004.ttl,claim-CLL0C04C08B.000004,Author claims masks do not cause hypercapnia,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5R_1,wearing masks can give someone] hypercapnia is malicious misinformation,Related,0.81
CLL0C04C08B.000004.ttl,claim-CLL0C04C08B.000004,Author claims masks do not cause hypercapnia,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA4F_1,Masks can also cause acne because of the moisture that is created while wearing a mask,Related,0.6
CLL0C04C08B.000004.ttl,claim-CLL0C04C08B.000004,Author claims masks do not cause hypercapnia,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_1,Claim: Masks deprive your body of oxygen,Related,0.63
CLL0C04C08B.000004.ttl,claim-CLL0C04C08B.000004,Author claims masks do not cause hypercapnia,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA4F_5,"masks aren’t very effective, I think some people should still wear them, but they may cause other problems such as respiratory infections",Related,0.58
CLL0C04C08B.000004.ttl,claim-CLL0C04C08B.000004,Author claims masks do not cause hypercapnia,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA4F_0,wearing a mask can create other problems such as respiratory infections and hypoxia which is depriving your body tissue of oxygen,Related,0.6
CLL0C04C08B.000004.ttl,claim-CLL0C04C08B.000004,Author claims masks do not cause hypercapnia,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_6,Claim: Masks harm the immune system,Related,0.66
CLL0C04C08B.000004.ttl,claim-CLL0C04C08B.000004,Author claims masks do not cause hypercapnia,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_4,Claim: Masks can cause carbon dioxide poisoning,Related,0.62
CLL0C04C0PY.000004.ttl,claim-CLL0C04C0PY.000004,WHO claims masks might cause people not to practice social distancing,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_2,One of the most common themes in misleading posts surrounding the use of masks is that they limit the amount of oxygen getting into the body,Related,0.59
CLL0C04C0PY.000004.ttl,claim-CLL0C04C0PY.000004,WHO claims masks might cause people not to practice social distancing,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA1A_2,"When you touch you face for adjusting the mask, you are unknowingly increasing the risk of being a victim",Related,0.61
CLL0C04C0PY.000004.ttl,claim-CLL0C04C0PY.000004,WHO claims masks might cause people not to practice social distancing,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3D_8,some people wear face masks in a bid to reduce the number of times they touch their nose and mouth (therefore reducing their risk of infection,Related,0.64
CLL0C04C0PY.000004.ttl,claim-CLL0C04C0PY.000004,WHO claims masks might cause people not to practice social distancing,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5R_1,wearing masks can give someone] hypercapnia is malicious misinformation,Related,0.63
CLL0C04C0PY.000004.ttl,claim-CLL0C04C0PY.000004,WHO claims masks might cause people not to practice social distancing,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_1,Claim: Masks deprive your body of oxygen,Related,0.59
CLL0C04C0PY.000004.ttl,claim-CLL0C04C0PY.000004,WHO claims masks might cause people not to practice social distancing,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5O_6,masks do not make everyone feel more comfortable,Related,0.75
CLL0C04C0PY.000004.ttl,claim-CLL0C04C0PY.000004,WHO claims masks might cause people not to practice social distancing,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5O_14,"In short, wearing a mask may actually increase your risk of infections",Related,0.61
CLL0C04C0PY.000004.ttl,claim-CLL0C04C0PY.000004,WHO claims masks might cause people not to practice social distancing,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA1A_1,Those wearing spects face foggy vision due to the mask on face,Related,0.58
CLL0C04C0PY.000004.ttl,claim-CLL0C04C0PY.000004,WHO claims masks might cause people not to practice social distancing,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5M_1,face masks are ineffective,Related,0.63
CLL0C04C0PY.000004.ttl,claim-CLL0C04C0PY.000004,WHO claims masks might cause people not to practice social distancing,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CVH6_2,asking vaccinated individuals to continue to wear masks would undermine confidence in the coronavirus vaccines,Related,0.59
CLL0C04C0PY.000004.ttl,claim-CLL0C04C0PY.000004,WHO claims masks might cause people not to practice social distancing,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA4F_5,"masks aren’t very effective, I think some people should still wear them, but they may cause other problems such as respiratory infections",Related,0.63
CLL0C04C0PY.000004.ttl,claim-CLL0C04C0PY.000004,WHO claims masks might cause people not to practice social distancing,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA4F_0,wearing a mask can create other problems such as respiratory infections and hypoxia which is depriving your body tissue of oxygen,Related,0.65
CLL0C04C0PY.000004.ttl,claim-CLL0C04C0PY.000004,WHO claims masks might cause people not to practice social distancing,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_6,Claim: Masks harm the immune system,Related,0.64
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_2,One of the most common themes in misleading posts surrounding the use of masks is that they limit the amount of oxygen getting into the body,Related,0.61
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5R_0,"face masks can be harmful, because they force the wearer to breathe in too much carbon dioxide",Related,0.62
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5M_5,"wearing a face mask restricts breathing, leading to the conditions hypoxemia and hypercapnia",Related,0.6
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA1A_3,An ill fitting mask can cause serious harm,Related,0.67
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA1A_0,People also face headache and stress after continuously putting on a face mask for longer than 3 hours,Related,0.71
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3D_8,some people wear face masks in a bid to reduce the number of times they touch their nose and mouth (therefore reducing their risk of infection,Related,0.61
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5R_1,wearing masks can give someone] hypercapnia is malicious misinformation,Related,0.62
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA4F_1,Masks can also cause acne because of the moisture that is created while wearing a mask,Related,0.63
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5O_10,", dizziness, headache, and short of breath are commonly experienced by the medical staff wearing N95 masks",Related,0.68
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_1,Claim: Masks deprive your body of oxygen,Related,0.63
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5O_13,81% developed headaches from wearing a face mask,Related,0.76
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5O_6,masks do not make everyone feel more comfortable,Related,0.58
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5O_14,"In short, wearing a mask may actually increase your risk of infections",Related,0.59
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5O_12,about a third of the workers developed headaches with use of masks and 60% required pain medications for relief,Related,0.72
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA1A_1,Those wearing spects face foggy vision due to the mask on face,Related,0.65
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA5M_1,face masks are ineffective,Related,0.67
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA4F_5,"masks aren’t very effective, I think some people should still wear them, but they may cause other problems such as respiratory infections",Related,0.61
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C04CA4F_0,wearing a mask can create other problems such as respiratory infections and hypoxia which is depriving your body tissue of oxygen,Related,0.65
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_6,Claim: Masks harm the immune system,Related,0.7
CLL0C04C0VT.000004.ttl,claim-CLL0C04C0VT.000004,Author claims masks cause headaches,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049P3U_4,Claim: Masks can cause carbon dioxide poisoning,Related,0.64
CLL0C04C1AR.000004.ttl,claim-CLL0C04C1AR.000004,Peter Daszak claims animals sold at the Wuhan Huanan Seafood Market might be involved with the origin of COVID-19,GAIA_English.Colorado_TA2_20220211.ttl,claim_L0C049PA1_5,the Huanan Seafood Wholesale Market in Wuhan—which sold mammals as well as fish—was considered a likely source of the outbreak because most of the early patients had visited it,Related,0.72
